id,v_title,ply_lst_title,tags,categ_id,v_pub_dt,vws,lks,dslks,cmnts,duration,ply_id
hcF_ThagmcQ,دكتور شريف عبد العظيم رئيس مجلس إدارة جمعية رسالة يكشف آلية عمل الجمعية والحالات التي تساعدها,MBCMASR,,24,2019-12-02T22:23:46.000Z,377,6,0,1,PT3M35S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
tgrUrWBa-HA,"دكتور شريف عبد العظيم: جمعية ""رسالة"" لها 70 فرعًا في مصر وتخضع جميعها للرقابة",MBCMASR,,24,2019-12-02T22:19:04.000Z,356,7,0,2,PT4M28S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
Wi8h8RJ0kF4,"د. شريف عبد العظيم رئيس مجلس إدارة جمعية رسالة: جروب ""أنا وابن عمي بنساعد الغريب"" فتح باب جديد للخير",MBCMASR,,24,2019-12-02T22:11:41.000Z,388,15,1,6,PT7M35S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
hsY-7Bl-Izw,الحكاية من العلمين الجديدة.. جولة وزير الإسكان لمتابعة الابراج التي وصل معدل التنفيذ بها لـ34 دور,MBCMASR,,24,2019-12-02T22:11:10.000Z,852,12,2,0,PT4M18S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
lEyRA06WzXM,الشيخ محمد بن زايد يزور طفلة بمنزلها ويقبل يدها لانه لم يتمكن من مصافحتها أثناء استقبال ولي العهد,MBCMASR,,24,2019-12-02T21:59:24.000Z,5786,76,7,16,PT3M11S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
x9mDMtZRxbU,الناقد الرياضي محمد يحيى يكشف تفاصيل أزمة غلق أبواب نادي الزمالك,MBCMASR,,24,2019-12-02T21:47:53.000Z,1630,23,1,4,PT6M54S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
N_SM00wPEog,كامل الوزير مازحاً: أنا جاهز لتولي تدريب المنتخب الأول وهذه خطتي لرفع لياقة اللاعبين,MBCMASR,,24,2019-12-02T21:44:50.000Z,1433,13,1,2,PT34S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
dqROO4sPDTg,وزير النقل كامل الوزير: هيبقى في سكة حديد قطاع خاص.. وخاصة في نقل البضائع,MBCMASR,,24,2019-12-02T21:44:13.000Z,1055,15,4,1,PT6M3S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
UhqB7rf9Mms,وزير النقل كامل الوزير يكشف تفاصيل تطوير المنظومة والجرارات الجديدة,MBCMASR,,24,2019-12-02T21:41:38.000Z,439,10,1,1,PT10M22S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
j3dEB0gWqdY,د. سهير لطفي رئيس المركز القومي للبحوث الاجتماعية والجنائية سابقا تحلل سلوكيات المقبلون على الانتحار,MBCMASR,,24,2019-12-02T21:00:29.000Z,1232,22,6,3,PT8M33S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
lxKktd-pojs,عمرو أديب يعلق على الجدل حول قضية الطالب المنتحر من أعلى برج القاهرة,MBCMASR,,24,2019-12-02T20:57:05.000Z,15167,257,74,61,PT3M21S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
4mPkmcI6SIY,أحمد منصور مذيع الجزيرة ينشر فيديو مقتطعاً من تصريحات الرئيس السيسي أثناء زيارة الكلية الحربية,MBCMASR,,24,2019-12-02T20:47:54.000Z,2535,43,13,24,PT24M58S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
3nVvzhr3F4E,د. عزة فتحي: العالم مهتم بالصحة العقلية والنفسية لكن في مصر الموضوع تحت مسمى الرفاهية,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T16:27:49.000Z,1091,4,1,1,PT3M4S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
Hg9RUZCJ_NA,أشرف عبد العزيز: التحريض على الانتحار جريمة كاملة الأركان والقانون يعاقب عليها,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T16:26:33.000Z,537,6,0,0,PT2M38S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
Vc9Dgi6XGGw,د. هاشم بحري: هناك دراسات في مصر تؤكد أن مليون شخص معرضون للاكتئاب,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T16:22:15.000Z,371,2,4,0,PT2M55S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
iwnaHHMOgJs,د. عزة فتحي: أصبحنا مجتمعاً مادياً وغاب الحوار والتواصل الحقيقي بين أفراد الأسرة الواحدة,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T16:20:22.000Z,244,1,2,0,PT4M6S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
LAPo2EnfbOg,أشرف عبد العزيز: القانون لا يجرم الشروع في الانتحار.. والأزمة مجتمعية,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T16:04:50.000Z,378,1,1,0,PT3M18S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
XbtThP8dp6k,ما الدوافع التي تجعل أي شخص يُفكر في الانتحار؟ د.هاشم بحري يُجيب,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:59:54.000Z,343,4,0,1,PT1M28S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
U3A-fYCSSrI,شائعة جديدة على السوشيال ميديا عن وفاة الفنان محمد فؤاد.. و(فؤش) ينفي الواقعة,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:46:14.000Z,2287,29,2,3,PT1M18S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
FeJ19lqaQR4,لمسة وفاء.. تلاميذ معهد أزهري بكفر الشيخ يودعون المعلمة بالزي المدرس ويكتبون رسائل حب على قبرها,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:45:08.000Z,1107,13,0,1,PT3M13S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
ez4B0MldXTU,معهد التخطيط القومي يطلق تقرير التنمية العربية الرابع,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:44:41.000Z,176,2,0,0,PT2M34S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
ceMCFBQGEvs,وزارة الداخلية: استخراج (الأوراق الرسمية) لذوي الاحتياجات الخاصة مجاناً لمدة أسبوع,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:38:40.000Z,269,1,1,0,PT44S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
lVQAG1O3PUE,تعليق ياسمين عز على انتشار فيديو إنتحار طالب الهندسة من أعلى برج القاهرة,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:38:08.000Z,22248,342,42,35,PT2M54S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
qiYGcaoweSM,وزارة الصحة تعلن تخصيص خطوط ساخنة لتلقي شكاوى ومكالمات حالات الإكتئاب وكل من يرغب في الإنتحار,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:37:41.000Z,368,10,1,2,PT1M6S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
eYtNAlLFbyA,الأكاديمية الوطنية للتدريب تعلن تخصيص برنامج مكثف لتدريب نواب المحافظين الجدد,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:31:17.000Z,224,4,1,1,PT49S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
XsY2RtXlbP0,وزير الري: مصر تعاني من نقص كبير في المياه يصل إلى 21 مليار متر مكعب في السنة,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-02T15:30:22.000Z,339,10,3,0,PT1M12S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
xoz0BMwzynw,طعن طومان,MBCMASR,,2,2019-12-02T11:45:52.000Z,1265,19,3,3,PT59S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
JQgwrf2llWE,قاتلك لا محالة,MBCMASR,,23,2019-12-02T11:31:06.000Z,645,13,1,2,PT1M22S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
zbKcR3TeEVA,خرافة وحقيقة,MBCMASR,,23,2019-12-02T11:15:50.000Z,469,9,3,2,PT1M,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
M806TgvIA6E,ولاءٌ بالقتل,MBCMASR,,2,2019-12-02T11:00:54.000Z,580,10,2,2,PT1M19S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
yxukW3pc3DQ,النائب هيثم الحريري: القمامة والمشاكل دي لو الحكومة مش قادرة تحلها تبقى كارثة,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T22:48:06.000Z,1911,18,4,3,PT1M52S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
iC9sL4GVXn8,هيثم الحريري: آلية التصويت لا تجعل المواطنين يعرفون ما يوافق عليه النواب وما يرفضوه,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T22:46:24.000Z,996,11,2,3,PT3M7S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
8blZghjtJT4,النائب هيثم الحريري: مين قال مفيش أمل.. مصر دايما فيها أمل,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T22:38:48.000Z,727,7,4,0,PT1M51S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
HQ3QoeXxIuo,النائب هيثم الحريري: مجلس النواب منزوع المخالب والأنياب,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T22:31:46.000Z,1315,20,1,1,PT2M13S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
hXFqZ0U0EsY,هيثم الحريري: الجزء الأساسي لخلافنا مع الحكومة هو فقه الأولويات,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T22:07:25.000Z,776,8,1,1,PT2M23S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
oLHCZArIstw,هيثم الحريري: قدمنا اقتراحًا لزيادة الحد الأدنى للمعاشات واقترحنا عددًا من الحلول,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T22:01:18.000Z,1045,18,1,1,PT4M39S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
hgIYea8UX78,هيثم الحريري: نحن كمعارضة لا نملك الحقيقة مطلقة,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T21:51:43.000Z,624,6,3,0,PT3M58S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
YgNJpaOWAZI,"""الحكاية"".. يتابع انخفاض أسعار السلع الأساسية والتموينية بالمجمعات الاستهلاكية",MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T21:43:04.000Z,829,11,1,3,PT3M23S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
DROikIkpXus,الفنان تامر حسني يتألق في حفل اعتزال نجم الكرة السعودية ياسر القحطاني بحضور عدد من النجوم,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T21:42:17.000Z,1863,36,6,4,PT4M6S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
-y0j2_18HIY,144 متر.. الإمارات تحتفل بعيدها الوطني الـ48 بأطول علم في العالم,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T21:35:33.000Z,518,9,1,1,PT3M14S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
bckI6T3nX7g,وزير الاتصالات يكشف موعد وصول سرعة الإنترنت لـ20 ميجا,MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T21:28:32.000Z,705,5,2,3,PT5M31S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
g2_0hyOCIVU,فضيحة جديدة وحوار كوميدي بين مذيع الجزيرة والمقاول محمد علي,MBCMASR,"MBC,MBC1,MBC Group,MBCDRAMA,DRAMA,Series,MBC.net,MBC MASR,MASR,GROUP,MBC Masr 2,Shahid.net",24,2019-12-01T21:27:39.000Z,9426,218,103,79,PT6M18S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
d4qzDIGVFfc,عمادالدين أديب يكشف تفاصيل طلب قطر الصلح مع السعودية,MBCMASR,"MBC,MBC1,MBC Group,MBCDRAMA,DRAMA,Series,MBC.net,MBC MASR,MASR,GROUP,MBC Masr 2,Shahid.net",24,2019-12-01T21:26:53.000Z,2310,46,8,16,PT16M25S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
58L-3JbpdV0,المهندس محسن صلاح رئيس مجلس إدارة المقاولون العرب يكشف حقيقة شراء والد محمد صلاح نادي عثماثون طنطا,MBCMASR,"MBC,MBC1,MBC Group,MBCDRAMA,DRAMA,Series,MBC.net,MBC MASR,MASR,GROUP,MBC Masr 2,Shahid.net",24,2019-12-01T21:25:13.000Z,660,7,1,0,PT3M57S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
iQxZ6GlpaRQ,"كنوز الجلالة.. رحلة ""الحكاية"" في ""كنوز الجلالة"" أكبر مجمع لمصانع الرخام في مصر والشرق الأوسط",MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T21:24:40.000Z,1508,35,2,6,PT7M41S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
JU76N0UhjSY,"وزير الاتصالات يتحدث عن فوائد القمر الصناعي ""طيبة 1""",MBCMASR,"MBC,MBC1,MBC Group,MBCDRAMA,DRAMA,Series,MBC.net,MBC MASR,MASR,GROUP,MBC Masr 2,Shahid.net",24,2019-12-01T20:33:58.000Z,793,8,2,3,PT1M50S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
RaWNCdK6cTo,وزير الاتصالات يكشف تفاصيل الخدمات الإلكترونية الجديدة في المرور والبريد,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T20:33:46.000Z,384,2,0,0,PT5M33S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
8yEwml0fF_4,جولة الرئيس السيسي بأجنحة معرض القاهرة الدولي للاتصالات وتكنولوجيا المعلومات (ICT),MBCMASR,"MBCMASR,MBCMASR2,Shahid,MBC,MBC.Net,Elhekaya",24,2019-12-01T20:25:15.000Z,817,16,7,1,PT5M1S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
3_sQGvIJs90,رئيس لجنة الإدارة المحلية بمجلس النواب: البرلمان هو مجلس الكلام والمشادات وبعضهم أمر طبيعي,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:50:23.000Z,830,4,3,1,PT4M14S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
wulHDC4yVd0,رئيس لجنة الإدارة المحلية بمجلس النواب: اختيار نواب المحافظين جاء بعد تدريب واختبارات عديدة,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:42:42.000Z,481,3,0,0,PT5M,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
xzQk8II2dn4,رئيس لجنة الإدارة المحلية بمجلس النواب دور مجلس النواب يأتي بعد التعديل الوزاري من خلال تقييم الأداء,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:42:31.000Z,221,0,0,0,PT4M36S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
D28o1p6L3H8,رئيس لجنة الإدارة المحلية بمجلس النواب: حركة المحافظين الأخيرة شهدت تمثيلاً جيداً للشباب,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:26:38.000Z,319,1,0,0,PT3M56S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
F7T_ydimUfE,سحر الجواهر وبريق الذهب يجمع عشاق الموضة في أول معرض لصناع الذهب بالقاهرة,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:18:35.000Z,590,6,0,0,PT3M29S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
0vcBk3MebOE,"بعد واقعة ""سوق العبور"".. القرش الحوتي ""بهلول"" يظهر بالغردقة.. وفرحة بين السائحين والمهتمين بالبيئة",MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:16:36.000Z,691,11,1,0,PT1M9S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
ydXkhJOzozM,حبس رجل أشعل النار في زوجته حتى الموت بسبب عدم الإنجاب,MBCMASR,"MBCMASR,MBCMASR2,MBC,SHAHID,SHAHID.net,MBC.net,MBC Group,Hadeeth Elmasaa,yasmin ezz,Egypt,Art,Policy,Economie,news",24,2019-12-01T16:16:11.000Z,1344,20,3,5,PT6M43S,PL4UpjxLgAyAVUWVwjTTSq4Cbgu48uGhmn
